Author,Cluster,interests
Utpal Roy,0,
Kasey Laurent,0,
Ashok S. Sangani,0,
Zhenyu Gan,0,"gait analysis, trajectory optimization, legged locomotion, multibody dynamics, robotics"
Eric M. Lui,0,
Lihong Lao,0,
Nadeem Ghani,0,
Younes Ra’di,0,"applied electromagnetics, artificial materials"
Jennifer W. Graham,0,"electrical & electronics engineering, matlab simulation, rectangular waveguide, optics, anisotropic media"
Saman Priyantha Kumarawadu,0,
Amit K. Sanyal,0,
Moamer (Mo) Hasanovic,0,"passive rf component design, rf and photonics integration, quantum technologies, electrical engineering, board-level rf component design"
Peter Plumley,0,
Anupam Pandey,0,"soft matter, capillarity, viscous flow, geometry"
Can Isik,0,
Dawit Negussey,0,
Pankaj K. Jha,0,"quantum sensing and metrology, quantum nano- and meta-photonics, machine learning, quantum optics, quantum technology, optical devices, nanomaterials, bio-inspired materials, bio-nano ​interfaces, quantum information science"
Shikha Nangia,0,computational biology multiscale modeling nanocarriers
Alex K. Jones,0,
Andrea Joseph,0,
Garrett Ethan Katz,0,
Jason Pollack,0,"quantum information, decoherence, thermalization, emergent spacetime, quantum gravity"
Jean-Daniel Medjo,0,
Sara Eftekharnejad,0,
Ian M. Shapiro,0,
Riyad S. Aboutaha,0,forensic engineering and structural failures
Sinéad C. Mac Namara,0,
Duane L. Marcy,0,
Jackie Anderson,0,
Joao Paulo Marum,0,"software engineering, virtual reality, reactive programming, graphics, user interfaces"
Pun To (Douglas) Yung,0,
Ed Bogucz,0,"fluid dynamics, heat transfer, green buildings"
Yeqing Wang,0,"multiphysics modeling, composite materials and structures, durability, damage tolerance, durability and damage tolerance of composite structures, multifunctional composites, multifunctional composite materials, laser machining of composites, advanced manufacturing of composite materials, mechanics of composite materials and structures"
Mehmet Sarimurat,0,
Li Wang,0,
Pramod K. Varshney,0,
Radhakrishna (Suresh) Sureshkumar,0,
Yiyang Sun,0,"computational fluid dynamics, and reduced-order modeling, modal analysis, flow control, unsteady aerodynamics"
Andrew C. Lee,0,
Cindy Smith,0,
John F. Dannenhoffer III,0,"computational geometry (cg), multi-disciplinary analysis and optimization (mdao), computational fluid dynamics (cfd), aerospace vehicle analysis and design"
Gabriel Silva De Oliveira,0,"artificial intelligence, machine learning, introductory programming instruction"
Yilei Shi,0,
Andrea Shen,0,
Joseph J. Waclawski,0,
Rodrick Kuate Defo,0,
Tong Lin,1,"turbomachinery design and performance analysis, air purification, ventilation, and indoor air quality (iaq), airborne pathogen transmission risk mitigation, computational fluid dynamics (cfd), turbomachinery, indoor air quality"
Mo Abdallah,1,
Matthew Erdman,1,"multiphase flow, heat and mass transfer, measurements and instrumentation, hydropower, computational fluid dynamics"
